Resource or Program Name,Record Type,Category,Provider Type,Town,ZIP Code,Address,Ages or Population Served,Contact Name,Phone or Contact,Website,License or Registry ID,Infant/Toddler Funded Spaces FY26,Preschool Funded Spaces FY26,School-Age Funded Spaces FY26,Total Funded Spaces FY26,Local Governance Partner,Local Partner Contact,Availability or Cost Notes,Source,Verified or Accessed,Verification Notes
St Andrew's Child Care Center,Provider,Early Start CT funded child care,Child Care Center,New Haven,06512,"1230 Townsend Ave, New Haven, CT, 06512",Infant/Toddler; Preschool,Elisha Nelson,(203) 469-9000,,DCCC.12248; Registry 894,16,40,0,56,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
St. Aedan Pre School,Provider,Early Start CT funded child care,Child Care Center,New Haven,06515,"351 Mckinley Ave, New Haven, CT, 06515",Infant/Toddler; Preschool,Judy Thompson,(203) 387-0041,,DCCC.70781; Registry 12224,16,56,0,72,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
The Little Schoolhouse,Provider,Early Start CT funded child care,Child Care Center,New Haven,06515,"1440 Whalley Ave, Ste 5, New Haven, CT, 06515",Infant/Toddler; Preschool,Mimi Bryant,(203) 645-5044,,DCCC.16475; Registry 1831,24,18,0,42,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Westville Community Nursery School,Provider,Early Start CT funded child care,Child Care Center,New Haven,06515,"3 Tour Ave, New Haven, CT, 06515",Preschool,Shannon Knudsen,(203) 387-6660,,DCCC.13435; Registry 1696,0,12,0,12,New Haven LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Child Works Pre-School,Provider,Early Start CT funded child care,Child Care Center,New London,06320,"3 Garvin St, New London, CT, 06320",Preschool,Cynthia Watts,(860) 443-6046,,DCCC.14007; Registry 1230,0,16,0,16,New London LGP,Kelly Davis | kdavis@learn.k12.ct.us | 860-434-4800 ext. 1128,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Children's Learning Center at Mitchell College,Provider,Early Start CT funded child care,Child Care Center,New London,06320,"701 Montauk Ave, New London, CT, 06320",Preschool,Kathleen Hallahan,(860) 701-5348,,DCCC.70370; Registry 2191,0,6,0,6,New London LGP,Kelly Davis | kdavis@learn.k12.ct.us | 860-434-4800 ext. 1128,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Connecticut College Children's Program,Provider,Early Start CT funded child care,Child Care Center,New London,06320,"75 Nameaug Avenue, New London, CT, 06320",Infant/Toddler; Preschool,Kathryn O'Connor,N/A,,DCCC.16689; Registry 1745,3,25,0,28,New London LGP,Kelly Davis | kdavis@learn.k12.ct.us | 860-434-4800 ext. 1128,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Early Childhood Development Center New London,Provider,Early Start CT funded child care,Child Care Center,New London,06320,"7 Vauxhall St, New London, CT, 06320",Infant/Toddler; Preschool,Lynn Reichart,(860) 543-3101,,DCCC.13998; Registry 1586,10,40,0,50,New London LGP,Kelly Davis | kdavis@learn.k12.ct.us | 860-434-4800 ext. 1128,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New London BOE at Early Childhood Center at B.P. Learned Mission,Provider,Early Start CT funded child care,Public School,New London,06320,"40 Shaw St., New London, CT, 06320",Preschool,TBD,N/A,,EXEMPT; Registry 9662,0,40,0,40,New London LGP,Kelly Davis | kdavis@learn.k12.ct.us | 860-434-4800 ext. 1128,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
TVCCA Little Learners/Head Start-New London,Provider,Early Start CT funded child care,Child Care Center,New London,06320,"387 Bayonet St, New London, CT, 06320",Infant/Toddler; Preschool,Debbi Poirier,(860) 425-6566,,DCCC.15931; Registry 1395,36,100,0,136,New London LGP,Kelly Davis | kdavis@learn.k12.ct.us | 860-434-4800 ext. 1128,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
The Childrens Center of New Milford,Provider,Early Start CT funded child care,Child Care Center,New Milford,06776,"11A Aspetuck Ave, New Milford, CT, 06776",Infant/Toddler; Preschool; School age,Andrea Miladinov,(860) 354-1883,,DCCC.13459; Registry 1417,8,24,12,44,Greater Danbury LGP,Eileen Costello | costello@edadvance.org | 860-567-0863 ext.1160,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Southfield Children's Center,Provider,Early Start CT funded child care,Child Care Center,Newington,06111,"84 Faith Rd, Newington, CT, 06111",Infant/Toddler; Preschool,Laura S Kouame,(860) 666-8811,,DCCC.15726; Registry 1430,22,26,0,48,Newington LGP,Jean Barresi | jbarresi@crec.org | 860-324-3391,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Children's Adventure Center,Provider,Early Start CT funded child care,Child Care Center,Newtown,06482,"14 Riverside Rd, Newtown, CT, 06482",Preschool,Anna M Ruggiero,(203) 943-3908,,DCCC.12807; Registry 131,0,30,0,30,Greater Danbury LGP,Eileen Costello | costello@edadvance.org | 860-567-0863 ext.1160,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Carousel Preschool,Provider,Early Start CT funded child care,Child Care Center,Norwalk,06851,"23 France St, Norwalk, CT, 06851",Preschool,Joyce Abate,(203) 847-1276,,DCCC.13947; Registry 65,0,40,0,40,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
CIFC/GNHS – Ben Franklin (Norwalk),Provider,Early Start CT funded child care,Child Care Center,Norwalk,06854,"165 Flax Hill Rd, Norwalk, CT, 06854",,Kari Gutierrez,(203) 791-5090,,DCCC.70422; Registry 8333,0,0,0,0,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
CIFC/Greater Norwalk Head Start - Ely,Provider,Early Start CT funded child care,Child Care Center,Norwalk,06854,"11 Ingalls Ave, Norwalk, CT, 06854",Preschool,Kari Gutierrez,(203) 791-5090,,DCCC.70435; Registry 8529,0,41,0,41,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Growing Seeds Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Norwalk,06854,"2 Trinity Place, Norwalk, CT, 06854",Infant/Toddler; Preschool,Stephanie Croswell,(203) 857-0708,,DCCC.16198; Registry 1924,8,28,0,36,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Growing Seeds Child Development Center Ben Franklin,Provider,Early Start CT funded child care,Child Care Center,Norwalk,06854,"165 Flax Hill Rd, Norwalk, CT, 06854",Infant/Toddler; Preschool,Stephanie Croswell,(475) 208-6300,,DCCC.70306; Registry 7732,16,41,0,57,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Lil Critters Preschool,Provider,Early Start CT funded child care,Child Care Center,Norwalk,06851,"10 Lewis St, Norwalk, CT, 06851",Preschool,Gay Cavanagh,(203) 984-3453,,DCCC.13979; Registry 253,0,42,0,42,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Marvin Children's Center,Provider,Early Start CT funded child care,Child Care Center,Norwalk,06855,"60 Gregory Boulevard, Norwalk, CT, 06855",Preschool,Katie Fitzmaurice,(203) 854-4660,,DCCC.15341; Registry 306,0,40,0,40,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Norwalk BOE At Cranbury Elementary,Provider,Early Start CT funded child care,Public School,Norwalk,06851,"10 Knowalot Ln, Norwalk, CT, 06851",Preschool,Christopher Olson,(203) 846-3600,,EXEMPT; Registry 11889,0,10,0,10,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Norwalk BOE at Early Childhood Center - Odyssey,Provider,Early Start CT funded child care,Public School,Norwalk,06851,"11 Allen Road, Norwalk, CT, 06851",Preschool,Jonathan Gibson,N/A,,EXEMPT; Registry 13198,0,18,0,18,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Norwalk BOE at Early Childhood Center-Elli,Provider,Early Start CT funded child care,Public School,Norwalk,06851,"11 Allen Road, Norwalk, CT, 06851",Preschool,Cristina G Matos,(203) 808-1857,,EXEMPT; Registry 13197,0,58,0,58,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Norwalk BOE at South Norwalk Elementary,Provider,Early Start CT funded child care,Public School,Norwalk,06854,"1 Meadow Street Extension, Norwalk, CT, 06854",Preschool,Christopher Olson,N/A,,EXEMPT; Registry SoNo,0,10,0,10,Norwalk LGP,Carol Carrozelli | carrozellic@norwalkps.org | 203-854-4114,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
